Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
960,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2026-03-31T18:05:12Z
4,System,IPv4,TCP,LISTEN,10.0.2.5,139,0.0.0.0,0,2026-03-31T18:05:19Z
432,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,3389,0.0.0.0,0,2026-03-31T18:05:12Z
1284,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2026-03-31T18:07:58Z
7244,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49975,2026-03-31T18:36:16Z
7244,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,50029,2026-03-31T18:44:24Z
7244,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49970,2026-03-31T18:36:09Z
7244,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49976,2026-03-31T18:36:16Z
7244,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8000,0.0.0.0,0,2026-03-31T18:36:08Z
7244,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8001,127.0.0.1,49964,2026-03-31T18:36:07Z
7244,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8001,0.0.0.0,0,2026-03-31T18:36:07Z
7244,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8003,0.0.0.0,0,2026-03-31T18:36:07Z
7244,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8889,127.0.0.1,50001,2026-03-31T18:40:42Z
7244,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8889,0.0.0.0,0,2026-03-31T18:36:08Z
708,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2026-03-31T18:05:12Z
548,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2026-03-31T18:05:12Z
1080,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49666,0.0.0.0,0,2026-03-31T18:05:12Z
412,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49667,0.0.0.0,0,2026-03-31T18:05:12Z
2324,spoolsv.exe,IPv4,TCP,LISTEN,0.0.0.0,49668,0.0.0.0,0,2026-03-31T18:05:13Z
2428,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49669,0.0.0.0,0,2026-03-31T18:05:31Z
668,services.exe,IPv4,TCP,LISTEN,0.0.0.0,49670,0.0.0.0,0,2026-03-31T18:05:41Z
412,svchost.exe,IPv4,TCP,ESTAB,10.0.2.5,49698,4.213.25.242,443,2026-03-31T18:07:33Z
2636,wazuh-agent.exe,IPv4,TCP,ESTAB,10.0.2.5,49866,10.0.2.15,1514,2026-03-31T18:18:54Z
7244,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,49964,127.0.0.1,8001,2026-03-31T18:36:07Z
7244,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,49970,127.0.0.1,8000,2026-03-31T18:36:09Z
7244,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,49975,127.0.0.1,8000,2026-03-31T18:36:16Z
7244,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,49976,127.0.0.1,8000,2026-03-31T18:36:16Z
7988,firefox.exe,IPv4,TCP,ESTAB,127.0.0.1,49979,127.0.0.1,49980,2026-03-31T18:37:01Z
7988,firefox.exe,IPv4,TCP,ESTAB,127.0.0.1,49980,127.0.0.1,49979,2026-03-31T18:37:01Z
7760,firefox.exe,IPv4,TCP,ESTAB,127.0.0.1,49981,127.0.0.1,49982,2026-03-31T18:37:25Z
7760,firefox.exe,IPv4,TCP,ESTAB,127.0.0.1,49982,127.0.0.1,49981,2026-03-31T18:37:25Z
7988,firefox.exe,IPv4,TCP,ESTAB,10.0.2.5,49989,34.160.144.191,443,2026-03-31T18:38:58Z
7988,firefox.exe,IPv4,TCP,ESTAB,10.0.2.5,49995,151.101.105.91,443,2026-03-31T18:40:15Z
7988,firefox.exe,IPv4,TCP,ESTAB,10.0.2.5,49998,151.101.105.91,443,2026-03-31T18:40:38Z
7988,firefox.exe,IPv4,TCP,ESTAB,127.0.0.1,50001,127.0.0.1,8889,2026-03-31T18:40:42Z
7988,firefox.exe,IPv4,TCP,ESTAB,10.0.2.5,50004,34.107.243.93,443,2026-03-31T18:40:53Z
7988,firefox.exe,IPv4,TCP,ESTAB,10.0.2.5,50006,34.120.208.123,443,2026-03-31T18:41:37Z
0,,IPv4,TCP,TIME_WAIT,10.0.2.5,50009,34.160.90.233,443,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,10.0.2.5,50011,40.74.81.198,443,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,10.0.2.5,50012,34.107.221.82,80,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,50016,127.0.0.1,8000,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,10.0.2.5,50018,34.111.211.209,443,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,10.0.2.5,50020,34.120.237.76,443,1601-01-01T00:00:00Z
6568,firefox.exe,IPv4,TCP,ESTAB,127.0.0.1,50024,127.0.0.1,50025,2026-03-31T18:42:44Z
6568,firefox.exe,IPv4,TCP,ESTAB,127.0.0.1,50025,127.0.0.1,50024,2026-03-31T18:42:44Z
7988,firefox.exe,IPv4,TCP,ESTAB,10.0.2.5,50027,151.101.105.91,443,2026-03-31T18:44:17Z
7244,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,50029,127.0.0.1,8000,2026-03-31T18:44:24Z
5252,smartscreen.exe,IPv4,TCP,ESTAB,10.0.2.5,50031,40.74.81.198,443,2026-03-31T18:44:40Z
3800,M365Copilot.exe,IPv4,TCP,ESTAB,10.0.2.5,50035,20.189.173.12,443,2026-03-31T18:45:06Z
3800,M365Copilot.exe,IPv4,TCP,ESTAB,10.0.2.5,50036,20.189.173.12,443,2026-03-31T18:45:06Z
4,System,IPv4,TCP,LISTEN,0.0.0.0,445,0.0.0.0,0,2026-03-31T18:05:13Z
960,svchost.exe,IPv6,TCP,LISTEN,::,135,::,0,2026-03-31T18:05:12Z
4,System,IPv6,TCP,LISTEN,::,445,::,0,2026-03-31T18:05:13Z
432,svchost.exe,IPv6,TCP,LISTEN,::,3389,::,0,2026-03-31T18:05:12Z
1864,OneDrive.Sync.Service.exe,IPv6,TCP,LISTEN,::1,42050,::,0,2026-03-31T18:27:06Z
708,lsass.exe,IPv6,TCP,LISTEN,::,49664,::,0,2026-03-31T18:05:12Z
548,wininit.exe,IPv6,TCP,LISTEN,::,49665,::,0,2026-03-31T18:05:12Z
1080,svchost.exe,IPv6,TCP,LISTEN,::,49666,::,0,2026-03-31T18:05:12Z
412,svchost.exe,IPv6,TCP,LISTEN,::,49667,::,0,2026-03-31T18:05:12Z
2324,spoolsv.exe,IPv6,TCP,LISTEN,::,49668,::,0,2026-03-31T18:05:13Z
2428,svchost.exe,IPv6,TCP,LISTEN,::,49669,::,0,2026-03-31T18:05:31Z
668,services.exe,IPv6,TCP,LISTEN,::,49670,::,0,2026-03-31T18:05:41Z
4,System,IPv4,UDP,,10.0.2.5,137,,0,2026-03-31T18:05:19Z
4,System,IPv4,UDP,,10.0.2.5,138,,0,2026-03-31T18:05:19Z
412,svchost.exe,IPv4,UDP,,0.0.0.0,500,,0,2026-03-31T18:05:13Z
